timestamp,temperatura (ºC),temperatura relativa (ºC),vento (km/h),umidade (%)
2019-01-01 00:00,27,30,15,79
2019-01-01 01:00,27,30,11,79
2019-01-01 02:00,27,30,13,79
2019-01-01 03:00,27,30,13,79
2019-01-01 04:00,27,30,13,79
2019-01-01 05:00,27,30,15,79
2019-01-01 06:00,27,30,15,79
2019-01-01 07:00,28,31,15,74
2019-01-01 08:00,29,33,17,70
2019-01-01 09:00,29,33,19,70
2019-01-01 10:00,29,34,22,74
2019-01-01 11:00,27,30,17,84
2019-01-01 12:00,28,31,19,74
2019-01-01 13:00,29,33,17,70
2019-01-01 14:00,28,30,19,66
2019-01-01 15:00,28,31,17,70
2019-01-01 16:00,27,30,15,79
2019-01-01 16:15,26,28,15,84
2019-01-01 16:35,26,28,09,84
2019-01-01 17:00,27,30,13,84
2019-01-01 18:00,27,30,13,79
2019-01-01 19:00,27,30,15,84
2019-01-01 20:00,27,30,13,84
2019-01-01 21:00,27,30,24,84
2019-01-01 22:00,27,30,20,84
2019-01-01 23:00,27,30,17,84
2019-01-15 00:00,27,29,17,74
2019-01-15 01:00,26,28,13,79
2019-01-15 02:00,26,28,15,79
2019-01-15 03:00,25,26,09,83
2019-01-15 04:00,24,25,09,89
2019-01-15 05:00,24,25,06,89
2019-01-15 06:00,24,25,13,89
2019-01-15 07:00,25,26,07,83
2019-01-15 08:00,27,29,20,74
2019-01-15 09:00,28,31,19,70
2019-01-15 10:00,28,31,20,70
2019-01-15 11:00,30,34,26,66
2019-01-15 12:00,29,33,28,70
2019-01-15 13:00,30,34,26,66
2019-01-15 14:00,28,31,28,70
2019-01-15 15:00,28,31,24,70
2019-01-15 16:00,28,31,24,70
2019-01-15 17:00,28,31,22,70
2019-01-15 18:00,27,29,20,74
2019-01-15 19:00,27,29,17,74
2019-01-15 20:00,27,29,17,74
2019-01-15 21:00,27,29,19,74
2019-01-15 22:00,26,28,15,79
2019-01-15 23:00,27,29,17,74
2019-01-31 00:00,27,29,19,74
2019-01-31 01:00,27,29,17,74
2019-01-31 02:00,27,29,17,74
2019-01-31 03:00,26,28,15,79
2019-01-31 04:00,26,28,15,84
2019-01-31 05:00,26,28,19,79
2019-01-31 06:00,27,29,17,74
2019-01-31 07:00,28,31,15,70
2019-01-31 08:00,28,31,19,70
2019-01-31 09:00,29,33,19,70
2019-01-31 10:00,29,32,19,66
2019-01-31 11:00,30,34,22,66
2019-01-31 12:00,29,33,19,70
2019-01-31 13:00,29,33,17,70
2019-01-31 14:00,29,33,22,70
2019-01-31 15:00,29,33,24,70
2019-01-31 16:00,28,32,19,79
2019-01-31 17:00,28,31,20,74
2019-01-31 18:00,28,31,19,70
2019-01-31 19:00,27,30,19,79
2019-01-31 20:00,27,30,17,79
2019-01-31 21:00,27,30,19,79
2019-01-31 22:00,27,30,17,79
2019-01-31 23:00,27,30,13,79
2019-02-01 00:00,27,30,11,79
2019-02-01 01:00,27,30,17,79
2019-02-01 02:00,26,28,11,84
2019-02-01 03:00,27,30,13,79
2019-02-01 04:00,27,29,11,74
2019-02-01 05:00,26,28,11,79
2019-02-01 06:00,27,30,11,79
2019-02-01 07:00,28,31,17,74
2019-02-01 08:00,28,31,15,74
2019-02-01 09:00,29,33,15,70
2019-02-01 10:00,29,34,19,74
2019-02-01 11:00,29,33,17,70
2019-02-01 12:00,29,34,17,74
2019-02-01 13:00,30,34,15,66
2019-02-01 14:00,29,33,17,70
2019-02-01 15:00,29,33,19,70
2019-02-01 16:00,29,33,15,70
2019-02-01 17:00,28,31,17,74
2019-02-01 18:00,28,31,19,74
2019-02-01 19:00,27,30,15,79
2019-02-01 20:00,27,30,17,79
2019-02-01 21:00,28,31,13,70
2019-02-01 22:00,27,30,13,84
2019-02-01 23:00,27,30,17,79
2019-02-14 00:00,24,25,04,94
2019-02-14 01:00,24,25,02,94
2019-02-14 02:00,24,25,07,94
2019-02-14 03:00,24,25,04,94
2019-02-14 04:00,24,25,07,94
2019-02-14 05:00,24,25,04,94
2019-02-14 06:00,24,25,04,94
2019-02-14 07:00,25,26,06,89
2019-02-14 08:00,28,32,06,79
2019-02-14 09:00,29,34,07,74
2019-02-14 10:00,29,34,11,74
2019-02-14 11:00,29,33,15,70
2019-02-14 12:00,29,34,13,74
2019-02-14 13:00,30,35,13,70
2019-02-14 14:00,30,35,15,70
2019-02-14 15:00,29,34,15,74
2019-02-14 16:00,29,34,15,74
2019-02-14 17:00,29,34,11,74
2019-02-14 18:00,28,32,11,79
2019-02-14 19:00,28,33,09,84
2019-02-14 20:00,28,33,11,84
2019-02-14 21:00,29,35,11,79
2019-02-14 22:00,28,32,13,79
2019-02-14 23:00,28,32,09,79
2019-02-28 00:00,27,30,09,79
2019-02-28 01:00,27,30,11,79
2019-02-28 02:00,27,30,09,79
2019-02-28 03:00,27,29,03,74
2019-02-28 04:00,27,30,07,79
2019-02-28 05:00,27,30,03,79
2019-02-28 06:00,28,31,09,74
2019-02-28 07:00,28,31,09,74
2019-02-28 08:00,29,34,09,74
2019-02-28 09:00,29,34,11,74
2019-02-28 10:00,30,35,13,70
2019-02-28 11:00,29,34,15,74
2019-02-28 12:00,29,34,15,74
2019-02-28 13:00,29,33,13,70
2019-02-28 14:00,30,35,11,70
2019-02-28 15:00,30,34,11,66
2019-02-28 16:00,29,34,15,74
2019-02-28 17:00,29,33,09,70
2019-02-28 18:00,29,33,11,70
2019-02-28 19:00,28,31,11,74
2019-02-28 20:00,28,32,11,79
2019-02-28 21:00,28,32,11,79
2019-02-28 22:00,28,32,09,79
2019-02-28 23:00,28,31,07,74
