date,sr_out,vento_rajada,vento_direcao,umid_max,umid_min,temp_max,pressao,pressao_min,unavailable_data,pto_orvalho_inst,pto_orvalho_max,vento_vel,temp_min,pressao_max,pto_orvalho_min,t_out,umid_inst,precipitacao
2018-07-19 23:00:00,-3.54,1.3,278,64,57,18.3,935.0,935.0,,9.5,10.1,0.1,16.8,935.0,9.3,16.8,62,0.0
2018-07-20 00:00:00,-3.54,1.1,223,64,61,17.1,935.1,935.0,,9.6,9.7,0.2,16.4,935.1,9.4,16.4,64,0.0
2018-07-20 01:00:00,-3.54,1.4,185,66,64,16.6,934.9,934.9,,9.4,9.7,0.5,15.9,935.1,9.4,16.1,65,0.0
2018-07-20 02:00:00,-3.54,2.7,148,66,60,17.4,934.7,934.6,,9.5,9.6,0.5,15.8,934.9,9.3,15.8,66,0.0
2018-07-20 03:00:00,-3.54,2.5,120,69,66,15.9,934.7,934.6,,9.3,9.9,1.0,15.1,934.7,9.3,15.1,68,0.0
2018-07-20 04:00:00,-3.54,2.1,91,76,68,15.1,935.0,934.7,,9.6,9.8,0.5,13.7,935.0,9.2,13.9,75,0.0
2018-07-20 05:00:00,-3.54,2.0,117,78,73,14.5,935.2,935.0,,9.5,10.0,1.2,13.4,935.3,9.5,14.3,73,0.0
2018-07-20 06:00:00,5.161,2.0,78,82,73,14.3,935.6,935.2,,9.7,9.7,0.8,12.4,935.6,9.0,12.9,81,0.0
2018-07-20 07:00:00,391.0,1.4,318,81,61,19.4,936.3,935.6,,11.6,13.1,0.0,12.9,936.3,9.6,19.4,61,0.0
2018-07-20 08:00:00,1170.0,0.9,194,61,49,22.5,936.7,936.3,,11.1,12.2,0.2,19.0,936.7,10.2,21.4,52,0.0
2018-07-20 09:00:00,1820.0,7.4,81,55,36,25.7,936.7,936.6,,9.4,12.4,3.4,21.2,936.8,9.1,25.4,36,0.0
2018-07-20 10:00:00,2331.0,6.7,49,37,31,27.3,936.7,936.6,,8.7,9.6,2.1,25.2,936.8,8.7,26.9,32,0.0
2018-07-20 11:00:00,2649.0,5.8,28,33,29,28.1,936.0,936.0,,8.0,9.6,2.0,26.8,936.7,7.9,27.1,30,0.0
2018-07-20 12:00:00,2702.0,5.3,105,31,28,28.5,935.3,935.3,,8.4,9.3,2.1,27.1,936.0,7.6,28.0,29,0.0
2018-07-20 13:00:00,2488.0,5.1,265,30,27,29.6,934.4,934.4,,8.8,9.9,0.8,27.9,935.3,7.8,29.2,28,0.0
2018-07-20 14:00:00,2117.0,4.5,51,29,26,29.8,933.5,933.5,,8.2,9.0,1.3,28.5,934.4,7.4,29.7,26,0.0
2018-07-20 15:00:00,1586.0,3.3,302,27,24,30.1,933.4,933.3,,8.0,8.5,1.4,29.0,933.5,7.3,29.2,26,0.0
2018-07-20 16:00:00,444.9,2.7,295,29,25,29.9,933.5,933.3,,8.3,9.3,0.2,28.6,933.5,7.7,29.0,27,0.0
2018-07-20 17:00:00,56.89,1.9,159,38,27,29.0,934.0,933.5,,9.5,9.9,0.5,25.0,934.0,7.9,25.3,37,0.0
2018-07-20 18:00:00,-3.53,2.2,92,43,35,25.8,934.4,934.0,,10.2,10.3,0.7,23.4,934.4,9.0,23.4,43,0.0
2018-07-20 19:00:00,-3.54,2.0,106,48,43,23.4,934.8,934.4,,10.1,10.4,0.4,21.6,934.8,9.8,21.6,48,0.0
2018-07-20 20:00:00,-3.54,2.2,127,53,46,22.0,935.3,934.8,,10.8,10.8,1.0,20.5,935.3,9.7,20.7,53,0.0
2018-07-20 21:00:00,-3.54,2.1,83,64,53,20.7,935.8,935.3,,11.2,11.4,0.6,18.2,935.9,10.8,18.2,64,0.0
2018-07-20 22:00:00,-3.54,1.1,15,73,62,18.5,936.1,935.8,,12.9,12.9,0.2,17.7,936.1,10.9,17.7,73,0.0
2018-07-20 23:00:00,-3.54,0.9,40,80,73,17.7,936.1,936.1,,12.9,13.2,0.1,16.2,936.2,12.6,16.6,79,0.0
2018-07-21 00:00:00,-3.54,0.6,262,82,79,16.6,935.7,935.7,,11.8,12.9,0.0,15.0,936.1,11.8,15.0,82,0.0
2018-07-21 01:00:00,-3.54,0.5,11,84,80,15.1,935.4,935.4,,11.3,12.1,0.0,14.4,935.8,11.3,14.7,80,0.0
2018-07-21 02:00:00,-3.53,0.8,91,88,80,14.7,935.2,935.2,,11.2,12.0,0.3,13.6,935.4,11.2,13.6,86,0.0
2018-07-21 03:00:00,-3.54,2.0,107,86,80,13.9,934.9,934.9,,10.4,11.2,0.3,13.2,935.2,10.1,13.3,83,0.0
2018-07-21 04:00:00,-3.54,1.5,68,85,83,13.6,935.3,934.9,,10.2,11.0,0.2,12.7,935.3,10.2,12.7,85,0.0
2018-07-21 05:00:00,-3.54,1.5,339,87,83,13.3,935.8,935.3,,10.0,10.8,0.0,12.1,935.8,9.7,12.1,87,0.0
2018-07-21 06:00:00,6.721,1.4,100,88,86,12.7,936.5,935.8,,10.3,10.3,0.6,11.8,936.5,9.8,12.7,86,0.0
2018-07-21 07:00:00,385.0,1.8,139,86,72,17.0,937.0,936.5,,12.0,12.4,0.3,12.6,937.0,10.1,17.0,72,0.0
2018-07-21 08:00:00,1149.0,2.6,136,72,57,20.0,937.4,937.0,,11.3,12.0,1.2,16.7,937.4,10.4,20.0,57,0.0
2018-07-21 09:00:00,1789.0,3.0,140,57,44,24.1,937.3,937.3,,11.7,11.7,1.2,19.9,937.6,10.6,24.1,46,0.0
2018-07-21 10:00:00,2278.0,3.0,178,46,34,27.5,936.9,936.9,,10.2,12.0,0.9,24.0,937.3,10.1,27.1,35,0.0
2018-07-21 11:00:00,2524.0,5.3,115,35,28,29.2,935.9,935.9,,9.2,10.2,1.6,27.1,936.9,7.8,29.2,29,0.0
2018-07-21 12:00:00,2663.0,4.8,60,31,24,29.7,934.8,934.8,,6.7,9.2,1.8,27.9,935.9,6.7,29.1,25,0.0
2018-07-21 13:00:00,2491.0,5.4,126,27,23,30.4,933.7,933.7,,6.6,8.6,2.8,29.0,934.8,6.0,29.8,23,0.0
2018-07-21 14:00:00,2128.0,5.4,150,24,21,30.8,933.0,933.0,,6.2,7.4,2.2,29.7,933.7,6.0,30.8,21,0.0
2018-07-21 15:00:00,1591.0,5.5,155,25,21,31.0,932.4,932.4,,7.0,7.8,2.1,29.8,933.0,5.8,30.2,23,0.0
2018-07-21 16:00:00,494.9,5.3,157,25,22,30.3,932.5,932.4,,6.7,7.6,2.0,28.9,932.6,6.0,29.1,24,0.0
2018-07-21 17:00:00,58.89,4.6,161,29,24,29.1,932.9,932.5,,6.9,7.1,1.1,26.5,932.9,6.5,26.5,29,0.0
2018-07-21 18:00:00,-3.54,2.4,127,34,29,26.5,933.5,932.9,,7.6,7.8,0.8,24.6,933.5,6.9,24.6,34,0.0
2018-07-21 19:00:00,-3.54,2.4,123,43,34,24.6,934.2,933.5,,8.6,8.6,0.1,21.7,934.2,7.5,21.7,43,0.0
2018-07-21 20:00:00,-3.54,1.7,137,50,41,22.2,934.8,934.2,,9.1,9.1,0.8,20.0,934.8,8.3,20.6,48,0.0
2018-07-21 21:00:00,-3.54,2.1,103,51,46,21.1,934.9,934.8,,8.8,9.4,1.4,19.6,935.1,8.8,19.7,50,0.0
