date,sr_out,t_out
2018-08-26 00:00:00,-3.53,20.8
2018-08-26 01:00:00,-3.24,20.4
2018-08-26 02:00:00,-3.49,19.7
2018-08-26 03:00:00,-3.54,19.2
2018-08-26 04:00:00,-3.54,18.9
2018-08-26 05:00:00,-3.07,18.8
2018-08-26 06:00:00,51.48,19.1
2018-08-26 07:00:00,564.5,20.9
2018-08-26 08:00:00,1253.0,22.2
2018-08-26 09:00:00,1958.0,24.3
2018-08-26 10:00:00,1613.0,26.7
2018-08-26 11:00:00,2888.0,28.0
2018-08-26 12:00:00,2950.0,29.7
2018-08-26 13:00:00,2886.0,30.4
2018-08-26 14:00:00,2200.0,30.0
2018-08-26 15:00:00,1254.0,30.8
2018-08-26 16:00:00,711.9,29.6
2018-08-26 17:00:00,216.9,27.4
2018-08-26 18:00:00,-2.38,24.7
2018-08-26 19:00:00,-3.54,22.9
2018-08-26 20:00:00,-3.54,21.8
2018-08-26 21:00:00,-3.54,21.0
2018-08-26 22:00:00,-3.54,20.2
2018-08-26 23:00:00,-3.54,19.5
2018-08-27 00:00:00,-3.54,19.0
