date,sr_out,t_out
2018-07-20 00:00:00,-3.54,16.4
2018-07-20 01:00:00,-3.54,16.1
2018-07-20 02:00:00,-3.54,15.8
2018-07-20 03:00:00,-3.54,15.1
2018-07-20 04:00:00,-3.54,13.9
2018-07-20 05:00:00,-3.54,14.3
2018-07-20 06:00:00,5.161,12.9
2018-07-20 07:00:00,391.0,19.4
2018-07-20 08:00:00,1170.0,21.4
2018-07-20 09:00:00,1820.0,25.4
2018-07-20 10:00:00,2331.0,26.9
2018-07-20 11:00:00,2649.0,27.1
2018-07-20 12:00:00,2702.0,28.0
2018-07-20 13:00:00,2488.0,29.2
2018-07-20 14:00:00,2117.0,29.7
2018-07-20 15:00:00,1586.0,29.2
2018-07-20 16:00:00,444.9,29.0
2018-07-20 17:00:00,56.89,25.3
2018-07-20 18:00:00,-3.53,23.4
2018-07-20 19:00:00,-3.54,21.6
2018-07-20 20:00:00,-3.54,20.7
2018-07-20 21:00:00,-3.54,18.2
2018-07-20 22:00:00,-3.54,17.7
2018-07-20 23:00:00,-3.54,16.6
