Time,SR_out,T_out,RH_out,Ws_out,W_out,VPD_out,SR_in,T_in,Tsoil,RH_in,W_in,Ws_in,VPD_in
4:00,0,13.7,33.2,0.01066,0.0035,1.0473,0,13.7,15.7,33.2,0.0035,0.01066,1.0473
4:15,0,13.28,35.28,0.01037,0.00362,0.987,0,14.2,15.6,32.2,0.0035,0.01098,1.0939
4:30,0,12.85,37.35,0.01007,0.00373,0.929,0,14.5,15.6,31.5,0.0035,0.01125,1.1324
4:45,0,12.43,39.43,0.0098,0.00383,0.874,0,14.8,15.6,30.9,0.0035,0.01147,1.1632
5:00,0,12,41.5,0.00952,0.00392,0.821,0,15,15.5,30.5,0.0035,0.01163,1.1866
5:15,2.08,11.88,41.4,0.00944,0.00387,0.815,1.6,15.2,15.5,30.2,0.00351,0.01177,1.2068
5:30,4.17,11.75,41.3,0.00936,0.00383,0.81,3.3,15.4,15.5,29.9,0.00351,0.01189,1.2241
5:45,6.25,11.63,41.2,0.00929,0.00379,0.805,4.9,15.5,15.5,29.7,0.00351,0.012,1.2386
6:00,8.33,11.5,41.1,0.00921,0.00375,0.799,6.5,15.6,15.4,29.5,0.00351,0.01208,1.2507
6:15,44.44,12.58,37.98,0.0099,0.00372,0.904,34.8,15.8,15.4,29,0.00351,0.01227,1.278
6:30,80.56,13.65,34.85,0.01062,0.00366,1.018,63,16.2,15.4,28.4,0.00351,0.01256,1.3199
6:45,116.67,14.73,31.73,0.01141,0.00358,1.144,91.2,16.7,15.5,27.5,0.00351,0.01295,1.3758
7:00,152.78,15.8,28.6,0.01224,0.00345,1.282,119.5,17.2,15.5,26.6,0.00351,0.01344,1.4456
7:15,211.11,16.95,26.5,0.01319,0.00344,1.42,165.1,17.9,15.5,25.4,0.00351,0.01405,1.5332
7:30,269.44,18.1,24.4,0.0142,0.00341,1.57,210.7,18.7,15.6,24.2,0.00351,0.01479,1.6391
7:45,327.78,19.25,22.3,0.01529,0.00335,1.735,256.3,19.6,15.7,22.8,0.00351,0.01567,1.764
8:00,386.11,20.4,20.2,0.01645,0.00325,1.913,301.9,20.6,15.7,21.5,0.00351,0.01669,1.9088
8:15,443.75,21.43,19.3,0.01756,0.00331,2.061,347,21.7,15.9,20.1,0.00351,0.01784,2.0727
8:30,501.39,22.45,18.4,0.01872,0.00336,2.218,392.1,22.8,16,18.8,0.00351,0.01914,2.2566
8:45,559.03,23.48,17.5,0.01996,0.0034,2.387,437.2,24,16.1,17.5,0.00351,0.02061,2.4622
9:00,616.67,24.5,16.6,0.02126,0.00343,2.565,482.2,25.2,16.3,16.2,0.00351,0.02224,2.6909
9:15,660.42,25.48,15.6,0.02259,0.00342,2.752,516.4,26.5,16.4,15.1,0.00351,0.02404,2.9405
9:30,704.17,26.45,14.6,0.02398,0.00339,2.949,550.7,27.8,16.6,14,0.00351,0.026,3.2123
9:45,747.92,27.43,13.6,0.02546,0.00334,3.161,584.9,29.1,16.8,12.9,0.0035,0.02815,3.5081
10:00,791.67,28.4,12.6,0.027,0.00328,3.383,619.1,30.4,16.9,12,0.0035,0.03051,3.8292
