date,sr_out,t_out
2018-07-19 23:00:00,-3.54,16.8
2018-07-20 00:00:00,-3.54,16.4
2018-07-20 01:00:00,-3.54,16.1
2018-07-20 02:00:00,-3.54,15.8
2018-07-20 03:00:00,-3.54,15.1
2018-07-20 04:00:00,-3.54,13.9
2018-07-20 05:00:00,-3.54,14.3
2018-07-20 06:00:00,5.161,12.9
2018-07-20 07:00:00,391.0,19.4
2018-07-20 08:00:00,1170.0,21.4
2018-07-20 09:00:00,1820.0,25.4
2018-07-20 10:00:00,2331.0,26.9
2018-07-20 11:00:00,2649.0,27.1
2018-07-20 12:00:00,2702.0,28.0
2018-07-20 13:00:00,2488.0,29.2
2018-07-20 14:00:00,2117.0,29.7
2018-07-20 15:00:00,1586.0,29.2
2018-07-20 16:00:00,444.9,29.0
2018-07-20 17:00:00,56.89,25.3
2018-07-20 18:00:00,-3.53,23.4
2018-07-20 19:00:00,-3.54,21.6
2018-07-20 20:00:00,-3.54,20.7
2018-07-20 21:00:00,-3.54,18.2
2018-07-20 22:00:00,-3.54,17.7
2018-07-20 23:00:00,-3.54,16.6
2018-07-21 00:00:00,-3.54,15.0
2018-07-21 01:00:00,-3.54,14.7
2018-07-21 02:00:00,-3.53,13.6
2018-07-21 03:00:00,-3.54,13.3
2018-07-21 04:00:00,-3.54,12.7
2018-07-21 05:00:00,-3.54,12.1
2018-07-21 06:00:00,6.721,12.7
2018-07-21 07:00:00,385.0,17.0
2018-07-21 08:00:00,1149.0,20.0
2018-07-21 09:00:00,1789.0,24.1
2018-07-21 10:00:00,2278.0,27.1
2018-07-21 11:00:00,2524.0,29.2
2018-07-21 12:00:00,2663.0,29.1
2018-07-21 13:00:00,2491.0,29.8
2018-07-21 14:00:00,2128.0,30.8
2018-07-21 15:00:00,1591.0,30.2
2018-07-21 16:00:00,494.9,29.1
2018-07-21 17:00:00,58.89,26.5
2018-07-21 18:00:00,-3.54,24.6
2018-07-21 19:00:00,-3.54,21.7
2018-07-21 20:00:00,-3.54,20.6
2018-07-21 21:00:00,-3.54,19.7
2018-07-21 22:00:00,-3.54,18.0
2018-07-21 23:00:00,-3.54,18.2
2018-07-22 00:00:00,-3.54,15.9
2018-07-22 01:00:00,-3.54,15.2
2018-07-22 02:00:00,-3.54,14.4
2018-07-22 03:00:00,-3.54,13.7
2018-07-22 04:00:00,-3.54,13.3
2018-07-22 05:00:00,-3.54,12.8
2018-07-22 06:00:00,6.203,12.7
2018-07-22 07:00:00,417.9,16.3
2018-07-22 08:00:00,1183.0,20.0
2018-07-22 09:00:00,1868.0,26.7
2018-07-22 10:00:00,2191.0,28.1
2018-07-22 11:00:00,2257.0,28.3
2018-07-22 12:00:00,1997.0,29.4
2018-07-22 13:00:00,2548.0,29.7
2018-07-22 14:00:00,2137.0,29.7
2018-07-22 15:00:00,1507.0,29.1
2018-07-22 16:00:00,503.1,28.4
2018-07-22 17:00:00,132.1,25.6
2018-07-22 18:00:00,-3.54,23.6
2018-07-22 19:00:00,-3.54,21.1
2018-07-22 20:00:00,-3.54,21.9
2018-07-22 21:00:00,-3.48,21.5
2018-07-22 22:00:00,-3.54,19.7
2018-07-22 23:00:00,-3.54,18.5
2018-07-23 00:00:00,-3.54,17.2
2018-07-23 01:00:00,-3.54,16.0
2018-07-23 02:00:00,-3.54,15.7
2018-07-23 03:00:00,-3.53,14.8
2018-07-23 04:00:00,-3.54,15.2
2018-07-23 05:00:00,-3.54,14.9
2018-07-23 06:00:00,6.065,14.2
2018-07-23 07:00:00,422.3,18.0
2018-07-23 08:00:00,1187.0,22.9
2018-07-23 09:00:00,1861.0,24.1
2018-07-23 10:00:00,2351.0,26.4
2018-07-23 11:00:00,2235.0,27.5
2018-07-23 12:00:00,2586.0,27.5
2018-07-23 13:00:00,2528.0,28.3
2018-07-23 14:00:00,2121.0,28.1
2018-07-23 15:00:00,1619.0,28.4
2018-07-23 16:00:00,595.0,27.8
2018-07-23 17:00:00,63.51,24.8
2018-07-23 18:00:00,-3.54,21.6
2018-07-23 19:00:00,-3.54,20.8
2018-07-23 20:00:00,-3.54,18.2
2018-07-23 21:00:00,-3.48,17.6
2018-07-23 22:00:00,-3.54,17.9
2018-07-23 23:00:00,-3.54,18.0
2018-07-24 00:00:00,-3.54,16.5
2018-07-24 01:00:00,-3.54,15.3
2018-07-24 02:00:00,-3.54,14.6
2018-07-24 03:00:00,-3.54,12.0
2018-07-24 04:00:00,-3.54,13.8
2018-07-24 05:00:00,-3.54,11.0
2018-07-24 06:00:00,6.058,12.0
2018-07-24 07:00:00,418.4,14.8
2018-07-24 08:00:00,1188.0,22.1
2018-07-24 09:00:00,1847.0,23.7
2018-07-24 10:00:00,2351.0,25.1
2018-07-24 11:00:00,2686.0,25.9
2018-07-24 12:00:00,2724.0,27.4
2018-07-24 13:00:00,2534.0,27.5
2018-07-24 14:00:00,2176.0,28.0
2018-07-24 15:00:00,1644.0,28.3
2018-07-24 16:00:00,687.8,27.5
2018-07-24 17:00:00,70.61,24.3
2018-07-24 18:00:00,-3.54,23.1
2018-07-24 19:00:00,-3.54,21.0
2018-07-24 20:00:00,-3.54,19.8
2018-07-24 21:00:00,-3.54,18.4
2018-07-24 22:00:00,-3.54,16.9
2018-07-24 23:00:00,-3.54,17.7
2018-07-25 00:00:00,-3.53,17.0
2018-07-25 01:00:00,-3.54,16.3
2018-07-25 02:00:00,-3.54,17.7
2018-07-25 03:00:00,-3.54,19.4
2018-07-25 04:00:00,-3.54,18.8
2018-07-25 05:00:00,-3.54,18.0
2018-07-25 06:00:00,6.894,16.8
2018-07-25 07:00:00,419.0,19.8
2018-07-25 08:00:00,1206.0,22.4
2018-07-25 09:00:00,1780.0,24.2
2018-07-25 10:00:00,2346.0,25.4
2018-07-25 11:00:00,2677.0,27.2
2018-07-25 12:00:00,2673.0,27.1
2018-07-25 13:00:00,2430.0,27.9
2018-07-25 14:00:00,2152.0,28.6
2018-07-25 15:00:00,1627.0,28.4
2018-07-25 16:00:00,738.4,27.5
2018-07-25 17:00:00,75.25,24.6
2018-07-25 18:00:00,-3.54,23.4
2018-07-25 19:00:00,-3.54,21.6
2018-07-25 20:00:00,-3.54,19.7
2018-07-25 21:00:00,-3.54,18.9
2018-07-25 22:00:00,-3.54,17.6
2018-07-25 23:00:00,-3.54,17.2
2018-07-26 00:00:00,-3.54,17.8
2018-07-26 01:00:00,-3.54,16.6
2018-07-26 02:00:00,-3.54,15.4
2018-07-26 03:00:00,-3.54,15.1
2018-07-26 04:00:00,-3.54,12.7
2018-07-26 05:00:00,-3.54,12.7
2018-07-26 06:00:00,8.004,13.5
2018-07-26 07:00:00,413.4,15.7
2018-07-26 08:00:00,1168.0,21.9
2018-07-26 09:00:00,1823.0,24.6
2018-07-26 10:00:00,2312.0,26.7
